PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
101,4,Can’t stop using it!,2025-03-20 13:35:23,45,48,"#social,#love",0.78
102,7,Loving the new update!,2025-03-24 03:35:23,63,27,"#mood,#bug,#AI",0.86
103,6,Absolutely love the UX!,2025-03-19 02:35:23,32,37,#mood,-0.19
104,3,Such a smooth interface!,2025-03-23 19:35:23,38,31,"#bug,#design,#AI",-0.22
105,5,Needs dark mode ASAP!,2025-03-22 21:35:23,136,44,"#AI,#design",0.65
106,7,Just another day...,2025-03-24 19:35:23,23,39,#love,-0.51
107,3,Loving the new update!,2025-03-20 22:35:23,91,38,#bug,-0.55
108,2,Can’t stop using it!,2025-03-16 22:35:23,31,26,"#cleanUI,#tech",0.85
109,7,Needs dark mode ASAP!,2025-03-17 11:35:23,15,31,"#bug,#cleanUI",-0.47
110,1,Great performance on mobile.,2025-03-20 19:35:23,68,46,"#AI,#tech,#fail",0.11
111,5,Just another day...,2025-03-20 06:35:23,20,7,#cleanUI,-0.5
112,5,Needs dark mode ASAP!,2025-03-16 00:35:23,142,29,"#AI,#bug",0.7
113,6,Worst experience ever.,2025-03-20 00:35:23,61,43,#design,0.93
114,5,Just another day...,2025-03-25 04:35:23,140,23,#mood,0.57
115,1,I’m impressed with the speed.,2025-03-19 01:35:23,57,18,"#social,#mood",-0.28
116,9,Great performance on mobile.,2025-03-17 19:35:23,102,14,"#cleanUI,#UX",-0.01
117,7,Just another day...,2025-03-21 00:35:23,55,37,"#social,#fail",-0.44
118,4,I’m impressed with the speed.,2025-03-24 16:35:23,62,41,#bug,-0.1
119,8,Absolutely love the UX!,2025-03-20 20:35:23,62,17,#UX,-0.79
120,5,Such a smooth interface!,2025-03-25 11:35:23,4,9,"#design,#tech",-0.24
121,6,Needs dark mode ASAP!,2025-03-16 01:35:23,78,47,"#bug,#tech,#love",0.74
122,8,Worst experience ever.,2025-03-25 17:35:23,113,24,"#bug,#mood,#love",-0.29
123,9,I’m impressed with the speed.,2025-03-18 20:35:23,45,22,"#mood,#bug,#UX",0.25
124,6,Needs dark mode ASAP!,2025-03-22 00:35:23,4,40,"#AI,#social,#tech",-0.53
125,7,Such a smooth interface!,2025-03-23 08:35:23,129,13,"#bug,#mood,#cleanUI",0.59
126,8,Needs dark mode ASAP!,2025-03-15 21:35:23,37,43,"#fail,#love",0.12
127,8,Can’t stop using it!,2025-03-18 13:35:23,84,32,#fail,-0.79
128,7,Can’t stop using it!,2025-03-25 09:35:23,148,33,"#mood,#fail",-0.22
129,7,Just another day...,2025-03-23 10:35:23,93,18,"#design,#fail",-0.95
130,1,Worst experience ever.,2025-03-20 02:35:23,111,36,"#UX,#AI,#mood",-0.41
131,9,Great performance on mobile.,2025-03-24 06:35:23,73,50,"#cleanUI,#love",0.43
132,1,Loving the new update!,2025-03-19 13:35:23,83,10,"#love,#fail,#mood",-0.83
133,4,Such a smooth interface!,2025-03-19 18:35:23,123,35,#design,0.52
134,7,Great performance on mobile.,2025-03-23 13:35:23,76,0,"#design,#social,#cleanUI",-0.15
135,1,Such a smooth interface!,2025-03-21 15:35:23,24,12,#love,0.47
136,7,Such a smooth interface!,2025-03-17 23:35:23,89,6,"#cleanUI,#UX,#design",-0.65
137,7,Worst experience ever.,2025-03-21 17:35:23,15,46,#AI,0.79
138,8,Absolutely love the UX!,2025-03-21 20:35:23,104,49,#mood,-0.14
